@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
505,'2025/12/01 11:22:13:284',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
506,'2025/12/01 11:22:13:301',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
507,'2025/12/01 11:22:13:315',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
508,'2025/12/01 11:22:13:336',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
509,'2025/12/01 11:22:13:351',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
510,'2025/12/01 11:22:13:366',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
511,'2025/12/01 11:22:13:384',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
512,'2025/12/01 11:22:13:400',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
513,'2025/12/01 11:22:13:417',2,-0.0243,-0.034414,0.051173,0.186597,-0.314313,-0.174554,0.101549,0.109956,3.133381,0.25
514,'2025/12/01 11:22:13:434',2,-0.0243,-0.034414,0.051173,0.186597,-0.314313,-0.174554,0.101549,0.109956,3.133381,0.25
515,'2025/12/01 11:22:13:449',2,-0.020117,-0.029415,0.040116,0.18141,-0.446459,-0.196649,0.106514,0.098609,3.127108,0.25
